algorithm,data_type,array_size,max_string_size,average_time_microseconds,average_char_comparisons
RadixSortWithQuickSwitch,reversed,2000,200,1707.7,32096
RadixSortWithQuickSwitch,almost_sorted,2000,200,1047.8,20159
StandardMergeSort,random,2100,200,3499.8,28828
StandardMergeSort,reversed,2100,200,2741.7,18437
StandardMergeSort,almost_sorted,2100,200,3120.1,26745
StandardQuickSort,random,2100,200,16796.5,362475
StandardQuickSort,reversed,2100,200,112748,2687515
StandardQuickSort,almost_sorted,2100,200,17198.1,379416
StringMergeSort,random,2100,200,8655.7,18487
StringMergeSort,reversed,2100,200,7372.1,8025
StringMergeSort,almost_sorted,2100,200,7680.6,10190
StringQuickSort,random,2100,200,1322.1,38513
StringQuickSort,reversed,2100,200,3193.3,82913
StringQuickSort,almost_sorted,2100,200,1643,63481
RadixSort,random,2100,200,3944.5,0
RadixSort,reversed,2100,200,4339.3,0
RadixSort,almost_sorted,2100,200,4314,0
RadixSortWithQuickSwitch,random,2100,200,1016.7,12906
RadixSortWithQuickSwitch,reversed,2100,200,1793.8,34000
RadixSortWithQuickSwitch,almost_sorted,2100,200,1099.5,20902
StandardMergeSort,random,2200,200,3722.7,30479
StandardMergeSort,reversed,2200,200,2887.3,19729
StandardMergeSort,almost_sorted,2200,200,3279.2,27812
StandardQuickSort,random,2200,200,17685.3,382656
StandardQuickSort,reversed,2200,200,138030,2926323
StandardQuickSort,almost_sorted,2200,200,17916.8,403190
StringMergeSort,random,2200,200,9079.4,19477
StringMergeSort,reversed,2200,200,7827.1,8511
StringMergeSort,almost_sorted,2200,200,8145.2,10686
StringQuickSort,random,2200,200,1356.3,37310
StringQuickSort,reversed,2200,200,3447.4,89391
StringQuickSort,almost_sorted,2200,200,1773,69813
RadixSort,random,2200,200,4188,0
RadixSort,reversed,2200,200,4549.3,0
RadixSort,almost_sorted,2200,200,4553.5,0
RadixSortWithQuickSwitch,random,2200,200,1076.9,13783
RadixSortWithQuickSwitch,reversed,2200,200,1883.6,35748
RadixSortWithQuickSwitch,almost_sorted,2200,200,1162.5,21882
StandardMergeSort,random,2300,200,3947.6,32240
StandardMergeSort,reversed,2300,200,3127,20977
StandardMergeSort,almost_sorted,2300,200,3479.1,29450
StandardQuickSort,random,2300,200,17937,394586
StandardQuickSort,reversed,2300,200,131471,3173656
StandardQuickSort,almost_sorted,2300,200,18663.5,423543
StringMergeSort,random,2300,200,9608.7,20581
StringMergeSort,reversed,2300,200,8309.2,9100
StringMergeSort,almost_sorted,2300,200,8817.5,11239
StringQuickSort,random,2300,200,1480.8,42305
StringQuickSort,reversed,2300,200,3729.2,95733
StringQuickSort,almost_sorted,2300,200,1814.5,70822
RadixSort,random,2300,200,4512.4,0
RadixSort,reversed,2300,200,4909.6,0
RadixSort,almost_sorted,2300,200,5622.4,0
RadixSortWithQuickSwitch,random,2300,200,1333,14840
RadixSortWithQuickSwitch,reversed,2300,200,2568.8,37339
RadixSortWithQuickSwitch,almost_sorted,2300,200,1645,22861
StandardMergeSort,random,2400,200,5749.5,33879
StandardMergeSort,reversed,2400,200,4425.4,22147
StandardMergeSort,almost_sorted,2400,200,5068,30805
StandardQuickSort,random,2400,200,25968.4,416416
StandardQuickSort,reversed,2400,200,146325,3431399
StandardQuickSort,almost_sorted,2400,200,19524,428899
StringMergeSort,random,2400,200,10028.6,21558
StringMergeSort,reversed,2400,200,8712.5,9559
StringMergeSort,almost_sorted,2400,200,9075.7,11761
StringQuickSort,random,2400,200,1485.1,40861
StringQuickSort,reversed,2400,200,3943.6,102310
StringQuickSort,almost_sorted,2400,200,3234.8,150934
RadixSort,random,2400,200,4654.7,0
RadixSort,reversed,2400,200,4931.3,0
RadixSort,almost_sorted,2400,200,5046,0
RadixSortWithQuickSwitch,random,2400,200,1199.4,15659
RadixSortWithQuickSwitch,reversed,2400,200,2075.4,38871
RadixSortWithQuickSwitch,almost_sorted,2400,200,1252.6,23795
StandardMergeSort,random,2500,200,4353,35674
StandardMergeSort,reversed,2500,200,3373.6,23215
StandardMergeSort,almost_sorted,2500,200,3780.7,32049
StandardQuickSort,random,2500,200,20836.3,434475
StandardQuickSort,reversed,2500,200,155975,3699396
StandardQuickSort,almost_sorted,2500,200,20039.4,448204
StringMergeSort,random,2500,200,10582.3,22660
StringMergeSort,reversed,2500,200,9096.8,9981
StringMergeSort,almost_sorted,2500,200,9504.9,12389
StringQuickSort,random,2500,200,1576.8,44410
StringQuickSort,reversed,2500,200,4214.1,109595
StringQuickSort,almost_sorted,2500,200,3075.9,140494
RadixSort,random,2500,200,4950,0
RadixSort,reversed,2500,200,5145.1,0
RadixSort,almost_sorted,2500,200,5226.8,0
RadixSortWithQuickSwitch,random,2500,200,1240.6,16597
RadixSortWithQuickSwitch,reversed,2500,200,2134.9,40384
RadixSortWithQuickSwitch,almost_sorted,2500,200,1317.5,24743
StandardMergeSort,random,2600,200,4527.9,37416
StandardMergeSort,reversed,2600,200,3582,24456
StandardMergeSort,almost_sorted,2600,200,3979.1,33480
StandardQuickSort,random,2600,200,20751.2,451139
StandardQuickSort,reversed,2600,200,245346,3978431
StandardQuickSort,almost_sorted,2600,200,20380,457719
StringMergeSort,random,2600,200,11105.7,23732
StringMergeSort,reversed,2600,200,9600.5,10563
StringMergeSort,almost_sorted,2600,200,9965.9,12989
StringQuickSort,random,2600,200,1721.3,50302
StringQuickSort,reversed,2600,200,4578.1,119065
StringQuickSort,almost_sorted,2600,200,2701.8,115570
RadixSort,random,2600,200,5186.7,0
RadixSort,reversed,2600,200,5329.7,0
RadixSort,almost_sorted,2600,200,5416.4,0
RadixSortWithQuickSwitch,random,2600,200,1299.3,17538
RadixSortWithQuickSwitch,reversed,2600,200,2227.9,42028
RadixSortWithQuickSwitch,almost_sorted,2600,200,1368.8,25696
StandardMergeSort,random,2700,200,4750.7,39093
StandardMergeSort,reversed,2700,200,3653.5,25306
